Market,Commodity,Model,Avg_RMSE,Avg_MAE,Avg_MAPE,Best_Metric,ADF_pvalue
Pune(Moshi),Coriander(Leaves),AutoARIMA,4.4494768573249,3.127454597450984,20.03584183616818,MAE,1.0346623573579779e-07
Savner,Wheat,ETS,58.54219156847179,44.96018986242275,1.7827827717790805,MAPE,0.5101978108802789
Umared,Wheat,XGBoost,32.603355053765114,26.73789876302083,1.0342574188087714,MAPE,0.1303335364713313
Pune(Manjri),Onion,RandomForest,147.55934698551687,115.71744528619529,13.95568941895954,MAPE,0.0236739718713477
Ramtek,Tomato,Prophet,593.0970779808858,507.56874533862526,42.80311003475749,MAPE,2.725863483056046e-05
Ramtek,Onion,RandomForest,118.50537587120417,100.6327579365079,8.10725490707984,MAPE,0.0008868471213266
Ramtek,Cabbage,AutoARIMA,173.6063925766352,140.18424141321566,15.226791700613818,MAPE,0.0005482343552279
Pune(Moshi),Tomato,AutoARIMA,723.2312363019155,523.0299488794067,32.749412290988495,MAPE,0.0004285215318535
Pune(Pimpri),Cabbage,RandomForest,188.2692529750481,149.4330793170763,12.442421855791526,MAPE,0.0017710472218186
Vashi New Mumbai,Potato,AutoARIMA,82.16201604086123,67.27369331819722,4.648405189082832,MAPE,0.1559707054817126
Pune(Manjri),Cabbage,ETS,345.3448184195267,262.5282823715171,19.87377895466621,MAPE,0.0007510939452189
Pune(Moshi),Cabbage,AutoARIMA,217.54657178292905,156.15008292678465,13.988715548776216,MAPE,0.0011937588123403
Pune(Manjri),Coriander(Leaves),Prophet,4.959957866980687,3.858898801552837,45.77012745448478,MAE,1.690483583987849e-10
Pune(Pimpri),Onion,AutoARIMA,244.361020141814,180.7460894819205,16.818983209167456,MAPE,0.0126780393368846
Pune(Moshi),Potato,AutoARIMA,117.02863738749342,96.8128854819266,6.840131420553711,MAPE,0.1936059067778986
Vashi New Mumbai,Onion,RandomForest,175.07033134544977,149.52282407407404,11.087280490426192,MAPE,0.003513132930676
Pune(Moshi),Carrot,Prophet,693.3598108786844,571.4040591727055,22.80446743312868,MAPE,0.0895791518332487
Ramtek,Potato,AutoARIMA,78.31890318731966,76.82706096067665,4.043529524246138,MAPE,0.0019748005613353
Ramtek,Coriander(Leaves),RandomForest,979.3459038348876,794.8700874125877,23.058650894312382,MAPE,0.0006308418597388
Pune(Pimpri),Tomato,ETS,315.2648857585938,214.0544999986002,12.336753396436498,MAPE,3.345849408003168e-08
Pune(Moshi),Onion,AutoARIMA,168.35484492013552,136.7864037140898,13.028074951486126,MAPE,0.0221547479193857
Pune(Pimpri),Coriander(Leaves),AutoARIMA,2.4252937417860325,1.7719814087050567,15.306469540255204,MAE,1.0966361021197424e-10
Pune(Manjri),Tomato,XGBoost,712.1655535691203,505.7139261881511,26.31873153087269,MAPE,9.77929412411973e-07
Pune(Manjri),Potato,AutoARIMA,200.86652270606567,167.28086924649648,8.855356267216795,MAPE,0.082103958769036
Shirur,Wheat,XGBoost,180.3945752272776,116.0738290497751,4.973244902907272,MAPE,0.3579182913616519
Dound,Wheat,RandomForest,101.2780869345089,71.32399056213374,2.80329216334169,MAPE,0.775470715158561
Manchar,Coriander(Leaves),AutoARIMA,443.9585003352476,336.4755372559956,27.206365294625947,MAPE,0.0863142269617961
Nagpur,Coriander(Leaves),AutoARIMA,1063.933128580701,921.3105537190622,25.067840103153,MAPE,9.240739121811613e-06
Pune,Coriander(Leaves),ETS,3.4582911085611454,2.661131027930498,22.970966363486504,MAE,0.0
Junnar(Otur),Cabbage,Prophet,163.42146830102428,136.96740547525027,17.73059603511738,MAPE,0.0002342874650191
